files	time_index	left_time_boundary	right_time_boundary	lambda_00	id	species	Type	Time	EffectivePopulationSize
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	0	-0	6.32138e-5	3780.99	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	-0	13093.1185999036
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	1	6.32138e-5	1.2807e-4	946.898	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	312939.603960396	52281.18603592943
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	2	1.2807e-4	1.94655e-4	1081.31	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	634009.9009900992	45782.38478794195
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	3	1.94655e-4	2.63065e-4	749.511	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	963638.6138613863	66049.66504167319
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	4	2.63065e-4	3.33403e-4	730.59	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	1302301.9801980196	67760.23555626208
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	5	3.33403e-4	4.05779e-4	815.246	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	1650509.900990099	60723.94160173679
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	6	4.05779e-4	4.80316e-4	904.435	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	2008806.9306930695	54735.774815270874
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	7	4.80316e-4	5.57147e-4	941.057	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	2377801.98019802	52605.68753545163
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	8	5.57147e-4	6.36418e-4	900.811	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	2758153.465346535	54955.97910666001
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	9	6.36418e-4	7.18288e-4	795.124	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	3150584.158415842	62260.66688346662
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	10	7.18288e-4	8.02934e-4	587.756	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	3555881.188118812	84227.04403706557
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	11	8.02934e-4	8.9055e-4	587.756	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	3974920.7920792084	84227.04403706557
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	12	8.9055e-4	9.81353e-4	375.792	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	4408663.366336633	131734.9770486054
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	13	9.81353e-4	0.00107558	375.792	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	4858183.168316832	131734.9770486054
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	14	0.00107558	0.00117351	261.578	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	5324653.465346535	189255.023339308
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	15	0.00117351	0.00127544	261.578	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	5809455.445544555	189255.023339308
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	16	0.00127544	0.0013817	211.287	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	6314059.405940595	234301.92342666376
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	17	0.0013817	0.00149269	211.287	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	6840099.009900991	234301.92342666376
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	18	0.00149269	0.00160884	196.118	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	7389554.455445546	252424.3082993377
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	19	0.00160884	0.00173066	196.118	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	7964554.455445546	252424.3082993377
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	20	0.00173066	0.00185873	202.002	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	8567623.762376238	245071.58590038467
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	21	0.00185873	0.00199372	202.002	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	9201633.663366338	245071.58590038467
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	22	0.00199372	0.00213644	221.999	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	9869900.990099011	222996.2769879572
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	23	0.00213644	0.00228781	221.999	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	10576435.643564356	222996.2769879572
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	24	0.00228781	0.00244895	249.75	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	11325792.079207921	198218.02000019822
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	25	0.00244895	0.00262121	249.75	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	12123514.85148515	198218.02000019822
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	26	0.00262121	0.00280624	273.402	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	12976287.128712872	181070.1841795214
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	27	0.00280624	0.00300609	273.402	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	13892277.227722775	181070.1841795214
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	28	0.00300609	0.00322334	269.796	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	14881633.663366336	183490.30561998513
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	29	0.00322334	0.00346132	269.796	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	15957128.712871287	183490.30561998513
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	30	0.00346132	0.00372438	212.011	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	17135247.524752475	233501.80176995305
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	31	0.00372438	0.00401846	212.011	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	18437524.752475247	233501.80176995305
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	32	0.00401846	0.00435187	112.795	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	19893366.336633664	438893.12908417487
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	33	0.00435187	0.00473675	112.795	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	21543910.891089108	438893.12908417487
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	34	0.00473675	0.00519197	36.4969	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	23449257.425742574	1356415.2159512043
/u/flashscratch/j/jessegar/Bootstraps/qlob_bootstraps_100/oak.msmc.out.final.txt	35	0.00519197	0.00574912	36.4969	bootstraps_100	qlob	Q. lobata reference genome (100 Bootstraps)	25702821.78217822	1356415.2159512043
