time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	5.70428e-05	2564.6
1	5.70428e-05	0.000115567	2895.7
2	0.000115567	0.000175653	882.909
3	0.000175653	0.000237384	604.625
4	0.000237384	0.000300855	611.83
5	0.000300855	0.000366166	674.121
6	0.000366166	0.000433427	725.018
7	0.000433427	0.000502758	746.572
8	0.000502758	0.00057429	740.471
9	0.00057429	0.000648167	713.494
10	0.000648167	0.00072455	646.751
11	0.00072455	0.000803613	646.751
12	0.000803613	0.000885552	546.054
13	0.000885552	0.000970583	546.054
14	0.000970583	0.00105895	454.588
15	0.00105895	0.00115093	454.588
16	0.00115093	0.00124681	382.881
17	0.00124681	0.00134697	382.881
18	0.00134697	0.00145178	329.999
19	0.00145178	0.00156171	329.999
20	0.00156171	0.00167728	291.36
21	0.00167728	0.00179909	291.36
22	0.00179909	0.00192787	262.559
23	0.00192787	0.00206447	262.559
24	0.00206447	0.00220988	240.338
25	0.00220988	0.00236532	240.338
26	0.00236532	0.00253229	222.563
27	0.00253229	0.00271263	222.563
28	0.00271263	0.00290868	207.89
29	0.00290868	0.00312342	207.89
30	0.00312342	0.0033608	195.307
31	0.0033608	0.00362617	195.307
32	0.00362617	0.00392703	183.344
33	0.00392703	0.00427434	183.344
34	0.00427434	0.00468512	168.791
35	0.00468512	0.00518788	168.791
36	0.00518788	0.00583605	143.711
37	0.00583605	0.00674959	143.711
38	0.00674959	0.0083113	108.143
39	0.0083113	inf	108.143
