time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	5.70428e-05	4430.23
1	5.70428e-05	0.000115567	1777.68
2	0.000115567	0.000175653	587.433
3	0.000175653	0.000237384	739.919
4	0.000237384	0.000300855	980.323
5	0.000300855	0.000366166	1179.61
6	0.000366166	0.000433427	1223.64
7	0.000433427	0.000502758	1106.02
8	0.000502758	0.00057429	913.217
9	0.00057429	0.000648167	727.603
10	0.000648167	0.00072455	528.32
11	0.00072455	0.000803613	528.32
12	0.000803613	0.000885552	393.883
13	0.000885552	0.000970583	393.883
14	0.000970583	0.00105895	336.655
15	0.00105895	0.00115093	336.655
16	0.00115093	0.00124681	314.922
17	0.00124681	0.00134697	314.922
18	0.00134697	0.00145178	309.452
19	0.00145178	0.00156171	309.452
20	0.00156171	0.00167728	310.9
21	0.00167728	0.00179909	310.9
22	0.00179909	0.00192787	313.304
23	0.00192787	0.00206447	313.304
24	0.00206447	0.00220988	310.895
25	0.00220988	0.00236532	310.895
26	0.00236532	0.00253229	296.973
27	0.00253229	0.00271263	296.973
28	0.00271263	0.00290868	265.081
29	0.00290868	0.00312342	265.081
30	0.00312342	0.0033608	213.102
31	0.0033608	0.00362617	213.102
32	0.00362617	0.00392703	148.385
33	0.00392703	0.00427434	148.385
34	0.00427434	0.00468512	87.0236
35	0.00468512	0.00518788	87.0236
36	0.00518788	0.00583605	43.3096
37	0.00583605	0.00674959	43.3096
38	0.00674959	0.0083113	33.9771
39	0.0083113	inf	33.9771
