time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	8.65217e-05	1771.61
1	8.65217e-05	0.000175291	914.719
2	0.000175291	0.000266428	315.541
3	0.000266428	0.000360062	270.386
4	0.000360062	0.000456333	229.795
5	0.000456333	0.000555396	223.459
6	0.000555396	0.000657416	243.442
7	0.000657416	0.000762576	277.209
8	0.000762576	0.000871075	314.57
9	0.000871075	0.000983132	347.079
10	0.000983132	0.00109899	373.648
11	0.00109899	0.00121891	373.648
12	0.00121891	0.00134319	364.708
13	0.00134319	0.00147217	364.708
14	0.00147217	0.0016062	322.247
15	0.0016062	0.00174571	322.247
16	0.00174571	0.00189115	273.199
17	0.00189115	0.00204306	273.199
18	0.00204306	0.00220204	233.781
19	0.00220204	0.00236878	233.781
20	0.00236878	0.00254407	208.925
21	0.00254407	0.00272884	208.925
22	0.00272884	0.00292417	198.367
23	0.00292417	0.00313135	198.367
24	0.00313135	0.00335191	200.482
25	0.00335191	0.00358769	200.482
26	0.00358769	0.00384095	213.06
27	0.00384095	0.00411449	213.06
28	0.00411449	0.00441184	232.445
29	0.00441184	0.00473756	232.445
30	0.00473756	0.00509762	251.532
31	0.00509762	0.00550013	251.532
32	0.00550013	0.00595646	255.942
33	0.00595646	0.00648326	255.942
34	0.00648326	0.00710633	220.787
35	0.00710633	0.00786891	220.787
36	0.00786891	0.00885204	130.762
37	0.00885204	0.0102377	130.762
38	0.0102377	0.0126065	61.1668
39	0.0126065	inf	61.1668
