time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	8.26538e-05	62.2258
1	8.26538e-05	0.000167455	1307.73
2	0.000167455	0.000254517	818.553
3	0.000254517	0.000343965	933.633
4	0.000343965	0.000435933	880.326
5	0.000435933	0.000530568	700.911
6	0.000530568	0.000628027	525.881
7	0.000628027	0.000728486	398.998
8	0.000728486	0.000832134	317.18
9	0.000832134	0.000939181	267.79
10	0.000939181	0.00104986	232.722
11	0.00104986	0.00116442	232.722
12	0.00116442	0.00128315	221.845
13	0.00128315	0.00140636	221.845
14	0.00140636	0.0015344	230.211
15	0.0015344	0.00166767	230.211
16	0.00166767	0.00180661	244.283
17	0.00180661	0.00195173	244.283
18	0.00195173	0.0021036	257.405
19	0.0021036	0.00226288	257.405
20	0.00226288	0.00243034	266.875
21	0.00243034	0.00260685	266.875
22	0.00260685	0.00279345	271.921
23	0.00279345	0.00299137	271.921
24	0.00299137	0.00320206	272.351
25	0.00320206	0.0034273	272.351
26	0.0034273	0.00366924	268.058
27	0.00366924	0.00393055	268.058
28	0.00393055	0.00421461	258.618
29	0.00421461	0.00452577	258.618
30	0.00452577	0.00486973	241.999
31	0.00486973	0.00525425	241.999
32	0.00525425	0.00569019	212.369
33	0.00569019	0.00619343	212.369
34	0.00619343	0.00678865	160.162
35	0.00678865	0.00751714	160.162
36	0.00751714	0.00845632	86.0199
37	0.00845632	0.00978002	86.0199
38	0.00978002	0.0120429	40.1961
39	0.0120429	inf	40.1961
