time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000115003	171.573
1	0.000115003	0.000232994	539.382
2	0.000232994	0.000354132	459.801
3	0.000354132	0.000478589	569.875
4	0.000478589	0.000606552	564.183
5	0.000606552	0.000738225	494.641
6	0.000738225	0.000873828	403.969
7	0.000873828	0.00101361	321.744
8	0.00101361	0.00115782	259.221
9	0.00115782	0.00130676	214.603
10	0.00130676	0.00146076	171.737
11	0.00146076	0.00162016	171.737
12	0.00162016	0.00178535	143.212
13	0.00178535	0.00195678	143.212
14	0.00195678	0.00213494	134.468
15	0.00213494	0.00232037	134.468
16	0.00232037	0.00251369	136.573
17	0.00251369	0.00271561	136.573
18	0.00271561	0.00292692	143.706
19	0.00292692	0.00314855	143.706
20	0.00314855	0.00338154	150.917
21	0.00338154	0.00362713	150.917
22	0.00362713	0.00388677	152.859
23	0.00388677	0.00416215	152.859
24	0.00416215	0.00445531	144.293
25	0.00445531	0.0047687	144.293
26	0.0047687	0.00510533	121.586
27	0.00510533	0.00546892	121.586
28	0.00546892	0.00586415	86.9869
29	0.00586415	0.00629709	86.9869
30	0.00629709	0.00677568	50.8137
31	0.00677568	0.0073107	50.8137
32	0.0073107	0.00791725	24.0783
33	0.00791725	0.00861746	24.0783
34	0.00861746	0.00944564	9.70368
35	0.00944564	0.0104592	9.70368
36	0.0104592	0.011766	3.89997
37	0.011766	0.0136078	3.89997
38	0.0136078	0.0167563	3.91511
39	0.0167563	inf	3.91511
