time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000125192	103.356
1	0.000125192	0.000253637	569.278
2	0.000253637	0.000385507	377.781
3	0.000385507	0.000520991	516.436
4	0.000520991	0.000660291	521.86
5	0.000660291	0.00080363	436.712
6	0.00080363	0.000951248	336.699
7	0.000951248	0.00110341	256.227
8	0.00110341	0.0012604	200.722
9	0.0012604	0.00142254	164.536
10	0.00142254	0.00159018	134.123
11	0.00159018	0.0017637	134.123
12	0.0017637	0.00194353	117.893
13	0.00194353	0.00213015	117.893
14	0.00213015	0.00232409	116.374
15	0.00232409	0.00252595	116.374
16	0.00252595	0.0027364	121.9
17	0.0027364	0.00295621	121.9
18	0.00295621	0.00318624	129.928
19	0.00318624	0.0034275	129.928
20	0.0034275	0.00368114	136.985
21	0.00368114	0.00394849	136.985
22	0.00394849	0.00423113	139.765
23	0.00423113	0.00453091	139.765
24	0.00453091	0.00485004	135.042
25	0.00485004	0.0051912	135.042
26	0.0051912	0.00555765	119.852
27	0.00555765	0.00595345	119.852
28	0.00595345	0.00638371	93.1681
29	0.00638371	0.006855	93.1681
30	0.006855	0.00737599	59.8408
31	0.00737599	0.00795841	59.8408
32	0.00795841	0.0086187	30.4576
33	0.0086187	0.00938095	30.4576
34	0.00938095	0.0102825	12.4543
35	0.0102825	0.0113859	12.4543
36	0.0113859	0.0128085	4.72034
37	0.0128085	0.0148134	4.72034
38	0.0148134	0.0182409	4.23363
39	0.0182409	inf	4.23363
