time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000122878	96.8511
1	0.000122878	0.000248948	596.31
2	0.000248948	0.000378381	384.001
3	0.000378381	0.00051136	491.904
4	0.00051136	0.000648085	560.389
5	0.000648085	0.000788774	509.024
6	0.000788774	0.000933663	393.197
7	0.000933663	0.00108301	287.154
8	0.00108301	0.0012371	213.693
9	0.0012371	0.00139624	168.438
10	0.00139624	0.00156078	134.544
11	0.00156078	0.0017311	134.544
12	0.0017311	0.0019076	119.838
13	0.0019076	0.00209077	119.838
14	0.00209077	0.00228113	121.157
15	0.00228113	0.00247926	121.157
16	0.00247926	0.00268582	128.695
17	0.00268582	0.00290156	128.695
18	0.00290156	0.00312734	137.31
19	0.00312734	0.00336414	137.31
20	0.00336414	0.00361309	143.497
21	0.00361309	0.0038755	143.497
22	0.0038755	0.00415291	143.689
23	0.00415291	0.00444715	143.689
24	0.00444715	0.00476038	134.115
25	0.00476038	0.00509524	134.115
26	0.00509524	0.00545491	112.553
27	0.00545491	0.00584339	112.553
28	0.00584339	0.0062657	81.4138
29	0.0062657	0.00672828	81.4138
30	0.00672828	0.00723964	48.7785
31	0.00723964	0.00781129	48.7785
32	0.00781129	0.00845938	23.8221
33	0.00845938	0.00920753	23.8221
34	0.00920753	0.0100924	9.86697
35	0.0100924	0.0111754	9.86697
36	0.0111754	0.0125717	4.04762
37	0.0125717	0.0145396	4.04762
38	0.0145396	0.0179037	3.9793
39	0.0179037	inf	3.9793
