time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000109365	121.943
1	0.000109365	0.000221571	533.413
2	0.000221571	0.00033677	529.726
3	0.00033677	0.000455125	591.615
4	0.000455125	0.000576814	583.087
5	0.000576814	0.000702031	540.84
6	0.000702031	0.000830987	457.6
7	0.000830987	0.000963911	362.545
8	0.000963911	0.00110106	282.195
9	0.00110106	0.0012427	223.436
10	0.0012427	0.00138914	170.389
11	0.00138914	0.00154072	170.389
12	0.00154072	0.00169782	140.823
13	0.00169782	0.00186085	140.823
14	0.00186085	0.00203027	135.976
15	0.00203027	0.00220661	135.976
16	0.00220661	0.00239045	141.782
17	0.00239045	0.00258247	141.782
18	0.00258247	0.00278342	150.462
19	0.00278342	0.00299418	150.462
20	0.00299418	0.00321575	157.036
21	0.00321575	0.00344931	157.036
22	0.00344931	0.00369621	157.689
23	0.00369621	0.00395809	157.689
24	0.00395809	0.00423688	149.002
25	0.00423688	0.00453491	149.002
26	0.00453491	0.00485503	128.183
27	0.00485503	0.00520079	128.183
28	0.00520079	0.00557665	95.8034
29	0.00557665	0.00598836	95.8034
30	0.00598836	0.00644349	59.3254
31	0.00644349	0.00695227	59.3254
32	0.00695227	0.00752909	29.7222
33	0.00752909	0.00819497	29.7222
34	0.00819497	0.00898254	12.3829
35	0.00898254	0.00994645	12.3829
36	0.00994645	0.0111891	4.94969
37	0.0111891	0.0129406	4.94969
38	0.0129406	0.0159348	4.39022
39	0.0159348	inf	4.39022
