time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000124482	168.007
1	0.000124482	0.000252199	570.388
2	0.000252199	0.000383321	440.089
3	0.000383321	0.000518036	495.41
4	0.000518036	0.000656547	517.795
5	0.000656547	0.000799072	464.864
6	0.000799072	0.000945853	372.765
7	0.000945853	0.00109715	284.151
8	0.00109715	0.00125325	217.326
9	0.00125325	0.00141447	172.793
10	0.00141447	0.00158116	136.033
11	0.00158116	0.0017537	136.033
12	0.0017537	0.00193251	117.229
13	0.00193251	0.00211807	117.229
14	0.00211807	0.00231091	115.026
15	0.00231091	0.00251163	115.026
16	0.00251163	0.00272088	120.1
17	0.00272088	0.00293944	120.1
18	0.00293944	0.00316817	128.414
19	0.00316817	0.00340806	128.414
20	0.00340806	0.00366026	136.617
21	0.00366026	0.0039261	136.617
22	0.0039261	0.00420714	139.665
23	0.00420714	0.00450521	139.665
24	0.00450521	0.00482254	131.815
25	0.00482254	0.00516176	131.815
26	0.00516176	0.00552613	109.944
27	0.00552613	0.00591969	109.944
28	0.00591969	0.00634751	77.4361
29	0.00634751	0.00681613	77.4361
30	0.00681613	0.00733416	44.4659
31	0.00733416	0.00791328	44.4659
32	0.00791328	0.00856982	20.8159
33	0.00856982	0.00932775	20.8159
34	0.00932775	0.0102242	8.42785
35	0.0102242	0.0113213	8.42785
36	0.0113213	0.0127358	3.49655
37	0.0127358	0.0147294	3.49655
38	0.0147294	0.0181375	3.82094
39	0.0181375	inf	3.82094
