time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	6.21042e-05	3851.77
1	6.21042e-05	0.000125822	1223.3
2	0.000125822	0.000191238	962.217
3	0.000191238	0.000258448	803.715
4	0.000258448	0.00032755	768.698
5	0.00032755	0.000398656	780.749
6	0.000398656	0.000471885	797.225
7	0.000471885	0.000547368	795.898
8	0.000547368	0.000625247	769.022
9	0.000625247	0.000705679	719.167
10	0.000705679	0.000788839	616.07
11	0.000788839	0.000874918	616.07
12	0.000874918	0.000964127	480.192
13	0.000964127	0.0010567	480.192
14	0.0010567	0.00115291	372.886
15	0.00115291	0.00125305	372.886
16	0.00125305	0.00135745	299.85
17	0.00135745	0.00146648	299.85
18	0.00146648	0.0015806	253.15
19	0.0015806	0.00170028	253.15
20	0.00170028	0.0018261	224.03
21	0.0018261	0.00195873	224.03
22	0.00195873	0.00209894	205.849
23	0.00209894	0.00224765	205.849
24	0.00224765	0.00240596	193.498
25	0.00240596	0.0025752	193.498
26	0.0025752	0.00275698	182.664
27	0.00275698	0.00295333	182.664
28	0.00295333	0.00316676	169.442
29	0.00316676	0.00340056	169.442
30	0.00340056	0.00365901	150.394
31	0.00365901	0.00394793	150.394
32	0.00394793	0.00427548	123.442
33	0.00427548	0.0046536	123.442
34	0.0046536	0.00510084	89.5812
35	0.00510084	0.0056482	89.5812
36	0.0056482	0.00635388	54.1232
37	0.00635388	0.00734848	54.1232
38	0.00734848	0.00904876	33.0133
39	0.00904876	inf	33.0133
