time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000101676	701.198
1	0.000101676	0.000205993	1200.18
2	0.000205993	0.000313092	820.737
3	0.000313092	0.000423126	758.789
4	0.000423126	0.00053626	622.335
5	0.00053626	0.000652673	480.561
6	0.000652673	0.000772562	375.03
7	0.000772562	0.00089614	306.122
8	0.00089614	0.00102364	264.068
9	0.00102364	0.00115533	240.004
10	0.00115533	0.00129147	225.596
11	0.00129147	0.0014324	225.596
12	0.0014324	0.00157845	225.552
13	0.00157845	0.00173002	225.552
14	0.00173002	0.00188753	235.882
15	0.00188753	0.00205147	235.882
16	0.00205147	0.00222238	246.899
17	0.00222238	0.0024009	246.899
18	0.0024009	0.00258773	251.957
19	0.00258773	0.00278367	251.957
20	0.00278367	0.00298966	246.201
21	0.00298966	0.00320679	246.201
22	0.00320679	0.00343634	226.287
23	0.00343634	0.00367981	226.287
24	0.00367981	0.00393899	191.394
25	0.00393899	0.00421607	191.394
26	0.00421607	0.00451368	145.178
27	0.00451368	0.00483513	145.178
28	0.00483513	0.00518457	96.3293
29	0.00518457	0.00556733	96.3293
30	0.00556733	0.00599046	55.0743
31	0.00599046	0.00646347	55.0743
32	0.00646347	0.00699973	27.2445
33	0.00699973	0.0076188	27.2445
34	0.0076188	0.008351	12.0389
35	0.008351	0.00924714	12.0389
36	0.00924714	0.0104025	5.20429
37	0.0104025	0.0120308	5.20429
38	0.0120308	0.0148145	8.26914
39	0.0148145	inf	8.26914
