time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000100492	523.6
1	0.000100492	0.000203594	1299.24
2	0.000203594	0.000309446	851.219
3	0.000309446	0.000418199	878.546
4	0.000418199	0.000530015	749.909
5	0.000530015	0.000645073	568.191
6	0.000645073	0.000763565	425.289
7	0.000763565	0.000885705	331.382
8	0.000885705	0.00101172	273.714
9	0.00101172	0.00114187	239.586
10	0.00114187	0.00127643	215.585
11	0.00127643	0.00141572	215.585
12	0.00141572	0.00156007	208.467
13	0.00156007	0.00170987	208.467
14	0.00170987	0.00186555	216.613
15	0.00186555	0.00202758	216.613
16	0.00202758	0.00219651	230.603
17	0.00219651	0.00237294	230.603
18	0.00237294	0.00255759	243.614
19	0.00255759	0.00275125	243.614
20	0.00275125	0.00295484	249.278
21	0.00295484	0.00316945	249.278
22	0.00316945	0.00339632	241.226
23	0.00339632	0.00363696	241.226
24	0.00363696	0.00389312	214.227
25	0.00389312	0.00416697	214.227
26	0.00416697	0.00446112	167.928
27	0.00446112	0.00477883	167.928
28	0.00477883	0.00512419	111.373
29	0.00512419	0.0055025	111.373
30	0.0055025	0.0059207	60.6465
31	0.0059207	0.00638821	60.6465
32	0.00638821	0.00691822	27.1366
33	0.00691822	0.00753008	27.1366
34	0.00753008	0.00825375	10.4358
35	0.00825375	0.00913946	10.4358
36	0.00913946	0.0102813	3.93254
37	0.0102813	0.0118907	3.93254
38	0.0118907	0.014642	8.30561
39	0.014642	inf	8.30561
