time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000100368	590.266
1	0.000100368	0.000203342	1115.46
2	0.000203342	0.000309064	803.084
3	0.000309064	0.000417681	895.237
4	0.000417681	0.000529359	800.651
5	0.000529359	0.000644275	610.586
6	0.000644275	0.000762621	447.222
7	0.000762621	0.00088461	339.503
8	0.00088461	0.00101047	273.931
9	0.00101047	0.00114046	234.47
10	0.00114046	0.00127486	203.959
11	0.00127486	0.00141397	203.959
12	0.00141397	0.00155814	189.686
13	0.00155814	0.00170776	189.686
14	0.00170776	0.00186324	192.803
15	0.00186324	0.00202507	192.803
16	0.00202507	0.00219379	204.992
17	0.00219379	0.00237001	204.992
18	0.00237001	0.00255443	220.386
19	0.00255443	0.00274785	220.386
20	0.00274785	0.00295119	233.413
21	0.00295119	0.00316553	233.413
22	0.00316553	0.00339212	237.703
23	0.00339212	0.00363246	237.703
24	0.00363246	0.00388831	225.985
25	0.00388831	0.00416182	225.985
26	0.00416182	0.0044556	192.562
27	0.0044556	0.00477292	192.562
28	0.00477292	0.00511786	139.443
29	0.00511786	0.0054957	139.443
30	0.0054957	0.00591338	81.154
31	0.00591338	0.00638031	81.154
32	0.00638031	0.00690967	36.713
33	0.00690967	0.00752077	36.713
34	0.00752077	0.00824355	13.1725
35	0.00824355	0.00912816	13.1725
36	0.00912816	0.0102686	4.27202
37	0.0102686	0.011876	4.27202
38	0.011876	0.0146239	7.77015
39	0.0146239	inf	7.77015
