time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000103587	574.693
1	0.000103587	0.000209866	1130.84
2	0.000209866	0.000318978	818.567
3	0.000318978	0.000431081	840.854
4	0.000431081	0.000546342	733.467
5	0.000546342	0.000664944	551.535
6	0.000664944	0.000787087	397.52
7	0.000787087	0.000912988	298.246
8	0.000912988	0.00104289	240.889
9	0.00104289	0.00117705	209.665
10	0.00117705	0.00131575	191.015
11	0.00131575	0.00145933	191.015
12	0.00145933	0.00160813	189.539
13	0.00160813	0.00176254	189.539
14	0.00176254	0.00192301	201.273
15	0.00192301	0.00209003	201.273
16	0.00209003	0.00226417	217.517
17	0.00226417	0.00244604	217.517
18	0.00244604	0.00263638	232.676
19	0.00263638	0.002836	232.676
20	0.002836	0.00304587	241.746
21	0.00304587	0.00326708	241.746
22	0.00326708	0.00350094	239.286
23	0.00350094	0.00374899	239.286
24	0.00374899	0.00401305	219.602
25	0.00401305	0.00429533	219.602
26	0.00429533	0.00459854	179.698
27	0.00459854	0.00492604	179.698
28	0.00492604	0.00528204	124.955
29	0.00528204	0.005672	124.955
30	0.005672	0.00610308	70.7677
31	0.00610308	0.00658499	70.7677
32	0.00658499	0.00713133	32.1841
33	0.00713133	0.00776204	32.1841
34	0.00776204	0.008508	12.1694
35	0.008508	0.00942099	12.1694
36	0.00942099	0.010598	4.34934
37	0.010598	0.012257	4.34934
38	0.012257	0.015093	8.42896
39	0.015093	inf	8.42896
