time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.80583e-05	501.625
1	9.80583e-05	0.000198664	1295.06
2	0.000198664	0.000301953	870.874
3	0.000301953	0.000408071	846.178
4	0.000408071	0.00051718	735.933
5	0.00051718	0.000629452	580.545
6	0.000629452	0.000745075	442.122
7	0.000745075	0.000864257	342.721
8	0.000864257	0.000987222	279.094
9	0.000987222	0.00111422	241.19
10	0.00111422	0.00124552	215.426
11	0.00124552	0.00138144	215.426
12	0.00138144	0.00152229	209.517
13	0.00152229	0.00166846	209.517
14	0.00166846	0.00182037	220.667
15	0.00182037	0.00197848	220.667
16	0.00197848	0.00214331	237.659
17	0.00214331	0.00231548	237.659
18	0.00231548	0.00249566	252.429
19	0.00249566	0.00268463	252.429
20	0.00268463	0.00288329	257.842
21	0.00288329	0.0030927	257.842
22	0.0030927	0.00331408	247.444
23	0.00331408	0.00354888	247.444
24	0.00354888	0.00379885	217.146
25	0.00379885	0.00406606	217.146
26	0.00406606	0.00435309	168.538
27	0.00435309	0.0046631	168.538
28	0.0046631	0.00500011	111.691
29	0.00500011	0.00536925	111.691
30	0.00536925	0.00577732	61.6928
31	0.00577732	0.00623351	61.6928
32	0.00623351	0.00675069	28.4706
33	0.00675069	0.00734773	28.4706
34	0.00734773	0.00805388	11.4296
35	0.00805388	0.00891814	11.4296
36	0.00891814	0.0100324	4.47953
37	0.0100324	0.0116028	4.47953
38	0.0116028	0.0142874	8.74441
39	0.0142874	inf	8.74441
