time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000100037	620.177
1	0.000100037	0.000202673	1115.3
2	0.000202673	0.000308046	793.72
3	0.000308046	0.000416307	874.212
4	0.000416307	0.000527617	786.128
5	0.000527617	0.000642155	601.699
6	0.000642155	0.000760112	438.631
7	0.000760112	0.000881698	329.059
8	0.000881698	0.00100715	262.094
9	0.00100715	0.00113671	222.59
10	0.00113671	0.00127066	194.308
11	0.00127066	0.00140932	194.308
12	0.00140932	0.00155301	185.013
13	0.00155301	0.00170214	185.013
14	0.00170214	0.00185711	193.284
15	0.00185711	0.00201841	193.284
16	0.00201841	0.00218657	209.302
17	0.00218657	0.00236221	209.302
18	0.00236221	0.00254602	227.125
19	0.00254602	0.00273881	227.125
20	0.00273881	0.00294148	241.816
21	0.00294148	0.00315511	241.816
22	0.00315511	0.00338096	247.064
23	0.00338096	0.0036205	247.064
24	0.0036205	0.00387551	234.563
25	0.00387551	0.00414812	234.563
26	0.00414812	0.00444094	197.53
27	0.00444094	0.00475721	197.53
28	0.00475721	0.00510102	139.247
29	0.00510102	0.00547761	139.247
30	0.00547761	0.00589392	77.9272
31	0.00589392	0.00635931	77.9272
32	0.00635931	0.00688693	33.9155
33	0.00688693	0.00749602	33.9155
34	0.00749602	0.00821642	11.9077
35	0.00821642	0.00909812	11.9077
36	0.00909812	0.0102348	3.89903
37	0.0102348	0.0118369	3.89903
38	0.0118369	0.0145757	7.31287
39	0.0145757	inf	7.31287
