time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.75823e-05	551.188
1	9.75823e-05	0.0001977	1239.03
2	0.0001977	0.000300487	881.744
3	0.000300487	0.000406091	882.854
4	0.000406091	0.00051467	751.477
5	0.00051467	0.000626396	573.729
6	0.000626396	0.000741458	433.097
7	0.000741458	0.000860061	341.317
8	0.000860061	0.00098243	285.095
9	0.00098243	0.00110881	251.527
10	0.00110881	0.00123948	227.134
11	0.00123948	0.00137473	227.134
12	0.00137473	0.0015149	217.979
13	0.0015149	0.00166036	217.979
14	0.00166036	0.00181153	223.52
15	0.00181153	0.00196887	223.52
16	0.00196887	0.00213291	235.449
17	0.00213291	0.00230424	235.449
18	0.00230424	0.00248354	247.623
19	0.00248354	0.00267159	247.623
20	0.00267159	0.00286929	253.532
21	0.00286929	0.00307769	253.532
22	0.00307769	0.00329799	246.031
23	0.00329799	0.00353166	246.031
24	0.00353166	0.00378041	219.122
25	0.00378041	0.00404633	219.122
26	0.00404633	0.00433196	172.246
27	0.00433196	0.00464047	172.246
28	0.00464047	0.00497584	114.734
29	0.00497584	0.00534319	114.734
30	0.00534319	0.00574928	62.9305
31	0.00574928	0.00620325	62.9305
32	0.00620325	0.00671792	28.4224
33	0.00671792	0.00731206	28.4224
34	0.00731206	0.00801478	11.0266
35	0.00801478	0.00887484	11.0266
36	0.00887484	0.00998366	4.16401
37	0.00998366	0.0115464	4.16401
38	0.0115464	0.014218	8.40151
39	0.014218	inf	8.40151
