time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.70442e-05	808.419
1	9.70442e-05	0.000196609	969.164
2	0.000196609	0.00029883	844.238
3	0.00029883	0.000403851	864.481
4	0.000403851	0.000511831	782.667
5	0.000511831	0.000622941	632.666
6	0.000622941	0.000737369	478.514
7	0.000737369	0.000855318	359.773
8	0.000855318	0.000977012	281.576
9	0.000977012	0.0011027	234.382
10	0.0011027	0.00123264	200.966
11	0.00123264	0.00136715	200.966
12	0.00136715	0.00150655	189.709
13	0.00150655	0.00165121	189.709
14	0.00165121	0.00180154	197.439
15	0.00180154	0.00195801	197.439
16	0.00195801	0.00212115	212.864
17	0.00212115	0.00229153	212.864
18	0.00229153	0.00246985	229.648
19	0.00246985	0.00265686	229.648
20	0.00265686	0.00285347	242.554
21	0.00285347	0.00306071	242.554
22	0.00306071	0.0032798	245.317
23	0.0032798	0.00351218	245.317
24	0.00351218	0.00375956	230.344
25	0.00375956	0.00402401	230.344
26	0.00402401	0.00430807	192.115
27	0.00430807	0.00461488	192.115
28	0.00461488	0.00494839	134.86
29	0.00494839	0.00531372	134.86
30	0.00531372	0.00571757	75.9906
31	0.00571757	0.00616904	75.9906
32	0.00616904	0.00668087	33.8239
33	0.00668087	0.00727174	33.8239
34	0.00727174	0.00797058	12.3285
35	0.00797058	0.0088259	12.3285
36	0.0088259	0.0099286	4.19598
37	0.0099286	0.0114828	4.19598
38	0.0114828	0.0141396	7.25184
39	0.0141396	inf	7.25184
