time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.00010946	514.81
1	0.00010946	0.000221764	1033.62
2	0.000221764	0.000337063	732.809
3	0.000337063	0.000455521	775.409
4	0.000455521	0.000577316	636.258
5	0.000577316	0.000702642	453.598
6	0.000702642	0.00083171	327.18
7	0.00083171	0.00096475	254.113
8	0.00096475	0.00110201	213.534
9	0.00110201	0.00124378	191.187
10	0.00124378	0.00139035	176.5
11	0.00139035	0.00154207	176.5
12	0.00154207	0.0016993	172.592
13	0.0016993	0.00186247	172.592
14	0.00186247	0.00203204	178.254
15	0.00203204	0.00220853	178.254
16	0.00220853	0.00239253	188.872
17	0.00239253	0.00258472	188.872
18	0.00258472	0.00278584	201.403
19	0.00278584	0.00299679	201.403
20	0.00299679	0.00321855	212.249
21	0.00321855	0.00345231	212.249
22	0.00345231	0.00369943	216.802
23	0.00369943	0.00396154	216.802
24	0.00396154	0.00424056	209.493
25	0.00424056	0.00453885	209.493
26	0.00453885	0.00485925	185.045
27	0.00485925	0.00520531	185.045
28	0.00520531	0.0055815	142.323
29	0.0055815	0.00599357	142.323
30	0.00599357	0.00644909	89.883
31	0.00644909	0.00695832	89.883
32	0.00695832	0.00753564	44.4548
33	0.00753564	0.0082021	44.4548
34	0.0082021	0.00899036	17.1791
35	0.00899036	0.00995511	17.1791
36	0.00995511	0.0111989	5.72984
37	0.0111989	0.0129519	5.72984
38	0.0129519	0.0159487	7.5288
39	0.0159487	inf	7.5288
