time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.95572e-05	499.063
1	9.95572e-05	0.000201701	1204.27
2	0.000201701	0.000306568	789.726
3	0.000306568	0.000414309	873.911
4	0.000414309	0.000525085	801.591
5	0.000525085	0.000639073	622.508
6	0.000639073	0.000756464	454.473
7	0.000756464	0.000877467	339.341
8	0.000877467	0.00100231	269.768
9	0.00100231	0.00113125	230.161
10	0.00113125	0.00126456	204.343
11	0.00126456	0.00140255	204.343
12	0.00140255	0.00154556	198.899
13	0.00154556	0.00169397	198.899
14	0.00169397	0.00184819	210.24
15	0.00184819	0.00200872	210.24
16	0.00200872	0.00217608	227.482
17	0.00217608	0.00235087	227.482
18	0.00235087	0.0025338	243.471
19	0.0025338	0.00272566	243.471
20	0.00272566	0.00292736	252.034
21	0.00292736	0.00313997	252.034
22	0.00313997	0.00336473	246.831
23	0.00336473	0.00360313	246.831
24	0.00360313	0.00385691	222.144
25	0.00385691	0.00412821	222.144
26	0.00412821	0.00441963	176.56
27	0.00441963	0.00473438	176.56
28	0.00473438	0.00507653	118.233
29	0.00507653	0.00545132	118.233
30	0.00545132	0.00586563	64.1829
31	0.00586563	0.00632879	64.1829
32	0.00632879	0.00685388	28.0451
33	0.00685388	0.00746004	28.0451
34	0.00746004	0.00817698	10.3055
35	0.00817698	0.00905445	10.3055
36	0.00905445	0.0101857	3.67612
37	0.0101857	0.0117801	3.67612
38	0.0117801	0.0145058	7.97409
39	0.0145058	inf	7.97409
