time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.83224e-05	585.252
1	9.83224e-05	0.000199199	1117.05
2	0.000199199	0.000302766	872.549
3	0.000302766	0.00040917	859.24
4	0.00040917	0.000518573	736.465
5	0.000518573	0.000631146	564.95
6	0.000631146	0.000747081	425.573
7	0.000747081	0.000866584	334.487
8	0.000866584	0.000989881	279.198
9	0.000989881	0.00111722	246.774
10	0.00111722	0.00124888	224.595
11	0.00124888	0.00138516	224.595
12	0.00138516	0.00152639	218.51
13	0.00152639	0.00167296	218.51
14	0.00167296	0.00182527	226.154
15	0.00182527	0.0019838	226.154
16	0.0019838	0.00214909	237.949
17	0.00214909	0.00232172	237.949
18	0.00232172	0.00250238	247.239
19	0.00250238	0.00269186	247.239
20	0.00269186	0.00289105	248.446
21	0.00289105	0.00310103	248.446
22	0.00310103	0.003323	236.776
23	0.003323	0.00355844	236.776
24	0.00355844	0.00380908	208.877
25	0.00380908	0.00407701	208.877
26	0.00407701	0.00436481	165.293
27	0.00436481	0.00467566	165.293
28	0.00467566	0.00501357	113.342
29	0.00501357	0.00538371	113.342
30	0.00538371	0.00579288	65.5217
31	0.00579288	0.00625029	65.5217
32	0.00625029	0.00676887	31.7016
33	0.00676887	0.00736751	31.7016
34	0.00736751	0.00807557	13.1678
35	0.00807557	0.00894215	13.1678
36	0.00894215	0.0100594	5.16949
37	0.0100594	0.011634	5.16949
38	0.011634	0.0143259	8.23404
39	0.0143259	inf	8.23404
