time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000100334	536.152
1	0.000100334	0.000203275	1214.36
2	0.000203275	0.000308961	717.552
3	0.000308961	0.000417543	843.374
4	0.000417543	0.000529184	828.512
5	0.000529184	0.000644062	661.755
6	0.000644062	0.000762369	480.109
7	0.000762369	0.000884317	350.105
8	0.000884317	0.00101014	270.59
9	0.00101014	0.00114008	224.969
10	0.00114008	0.00127443	193.845
11	0.00127443	0.0014135	193.845
12	0.0014135	0.00155763	184.45
13	0.00155763	0.00170719	184.45
14	0.00170719	0.00186262	193.448
15	0.00186262	0.0020244	193.448
16	0.0020244	0.00219306	210.418
17	0.00219306	0.00236922	210.418
18	0.00236922	0.00255358	228.961
19	0.00255358	0.00274694	228.961
20	0.00274694	0.00295021	242.855
21	0.00295021	0.00316448	242.855
22	0.00316448	0.003391	244.791
23	0.003391	0.00363125	244.791
24	0.00363125	0.00388702	226.883
25	0.00388702	0.00416044	226.883
26	0.00416044	0.00445413	184.668
27	0.00445413	0.00477134	184.668
28	0.00477134	0.00511616	125.104
29	0.00511616	0.00549388	125.104
30	0.00549388	0.00591142	67.7147
31	0.00591142	0.00637819	67.7147
32	0.00637819	0.00690738	29.2024
33	0.00690738	0.00751828	29.2024
34	0.00751828	0.00824081	10.5581
35	0.00824081	0.00912513	10.5581
36	0.00912513	0.0102652	3.70646
37	0.0102652	0.0118721	3.70646
38	0.0118721	0.014619	7.49574
39	0.014619	inf	7.49574
