time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.51676e-05	440.907
1	9.51676e-05	0.000192807	1386.45
2	0.000192807	0.000293051	928.559
3	0.000293051	0.000396042	948.08
4	0.000396042	0.000501934	827.776
5	0.000501934	0.000610896	649.329
6	0.000610896	0.000723111	496.703
7	0.000723111	0.000838779	389.977
8	0.000838779	0.00095812	321.204
9	0.00095812	0.00108137	278.851
10	0.00108137	0.00120881	247.375
11	0.00120881	0.00134071	247.375
12	0.00134071	0.00147742	235.88
13	0.00147742	0.00161928	235.88
14	0.00161928	0.00176671	242.951
15	0.00176671	0.00192015	242.951
16	0.00192015	0.00208013	256.346
17	0.00208013	0.00224722	256.346
18	0.00224722	0.00242209	267.38
19	0.00242209	0.00260549	267.38
20	0.00260549	0.00279829	268.541
21	0.00279829	0.00300153	268.541
22	0.00300153	0.00321638	253.023
23	0.00321638	0.00344426	253.023
24	0.00344426	0.00368686	216.61
25	0.00368686	0.0039462	216.61
26	0.0039462	0.00422476	162.194
27	0.00422476	0.00452564	162.194
28	0.00452564	0.00485271	102.549
29	0.00485271	0.00521097	102.549
30	0.00521097	0.00560701	53.8411
31	0.00560701	0.00604975	53.8411
32	0.00604975	0.00655168	23.8209
33	0.00655168	0.00713112	23.8209
34	0.00713112	0.00781646	9.35947
35	0.00781646	0.00865524	9.35947
36	0.00865524	0.00973661	3.71215
37	0.00973661	0.0112607	3.71215
38	0.0112607	0.0138662	8.82168
39	0.0138662	inf	8.82168
