time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.73464e-05	484.373
1	9.73464e-05	0.000197221	1334.3
2	0.000197221	0.00029976	729.656
3	0.00029976	0.000405109	885.412
4	0.000405109	0.000513425	866.836
5	0.000513425	0.000624881	701.102
6	0.000624881	0.000739665	524.747
7	0.000739665	0.000857982	393.963
8	0.000857982	0.000980054	308.611
9	0.000980054	0.00110613	255.348
10	0.00110613	0.00123648	212.793
11	0.00123648	0.00137141	212.793
12	0.00137141	0.00151124	191.01
13	0.00151124	0.00165635	191.01
14	0.00165635	0.00180715	191.687
15	0.00180715	0.00196411	191.687
16	0.00196411	0.00212775	204.33
17	0.00212775	0.00229867	204.33
18	0.00229867	0.00247754	222.241
19	0.00247754	0.00266513	222.241
20	0.00266513	0.00286236	239.127
21	0.00286236	0.00307024	239.127
22	0.00307024	0.00329002	247.318
23	0.00329002	0.00352312	247.318
24	0.00352312	0.00377126	237.63
25	0.00377126	0.00403654	237.63
26	0.00403654	0.00432148	202.638
27	0.00432148	0.00462925	202.638
28	0.00462925	0.0049638	144.694
29	0.0049638	0.00533027	144.694
30	0.00533027	0.00573538	81.675
31	0.00573538	0.00618825	81.675
32	0.00618825	0.00670167	35.4308
33	0.00670167	0.00729438	35.4308
34	0.00729438	0.0079954	12.1847
35	0.0079954	0.00885338	12.1847
36	0.00885338	0.00995951	3.84709
37	0.00995951	0.0115185	3.84709
38	0.0115185	0.0141837	7.86981
39	0.0141837	inf	7.86981
