time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.78687e-05	607.372
1	9.78687e-05	0.00019828	1180.49
2	0.00019828	0.000301369	871.655
3	0.000301369	0.000407282	912.038
4	0.000407282	0.00051618	800.548
5	0.00051618	0.000628234	609.427
6	0.000628234	0.000743634	446.694
7	0.000743634	0.000862585	340.319
8	0.000862585	0.000985313	277.495
9	0.000985313	0.00111207	241.937
10	0.00111207	0.00124312	218.215
11	0.00124312	0.00137877	218.215
12	0.00137877	0.00151935	211.973
13	0.00151935	0.00166524	211.973
14	0.00166524	0.00181685	220.801
15	0.00181685	0.00197465	220.801
16	0.00197465	0.00213917	235.502
17	0.00213917	0.002311	235.502
18	0.002311	0.00249083	249.553
19	0.00249083	0.00267943	249.553
20	0.00267943	0.00287771	256.649
21	0.00287771	0.00308672	256.649
22	0.00308672	0.00330767	249.926
23	0.00330767	0.00354202	249.926
24	0.00354202	0.0037915	223.339
25	0.0037915	0.0040582	223.339
26	0.0040582	0.00434467	176.136
27	0.00434467	0.00465409	176.136
28	0.00465409	0.00499044	117.571
29	0.00499044	0.00535887	117.571
30	0.00535887	0.00576615	64.3256
31	0.00576615	0.00622145	64.3256
32	0.00622145	0.00673763	28.6912
33	0.00673763	0.00733352	28.6912
34	0.00733352	0.0080383	10.8278
35	0.0080383	0.00890089	10.8278
36	0.00890089	0.010013	3.92426
37	0.010013	0.0115803	3.92426
38	0.0115803	0.0142598	8.47205
39	0.0142598	inf	8.47205
