time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.00010401	438.934
1	0.00010401	0.000210721	1093.28
2	0.000210721	0.000320278	809.991
3	0.000320278	0.000432838	833.725
4	0.000432838	0.000548568	699.619
5	0.000548568	0.000667654	524.799
6	0.000667654	0.000790294	390.435
7	0.000790294	0.000916709	304.563
8	0.000916709	0.00104714	253.285
9	0.00104714	0.00118184	223.864
10	0.00118184	0.00132112	204.991
11	0.00132112	0.00146528	204.991
12	0.00146528	0.00161468	202.175
13	0.00161468	0.00176972	202.175
14	0.00176972	0.00193085	212.31
15	0.00193085	0.00209855	212.31
16	0.00209855	0.00227339	226.128
17	0.00227339	0.00245601	226.128
18	0.00245601	0.00264712	237.612
19	0.00264712	0.00284756	237.612
20	0.00284756	0.00305828	241.653
21	0.00305828	0.0032804	241.653
22	0.0032804	0.00351521	233.442
23	0.00351521	0.00376427	233.442
24	0.00376427	0.0040294	209.15
25	0.0040294	0.00431284	209.15
26	0.00431284	0.00461728	168.304
27	0.00461728	0.00494611	168.304
28	0.00494611	0.00530357	117.091
29	0.00530357	0.00569512	117.091
30	0.00569512	0.00612796	68.0761
31	0.00612796	0.00661183	68.0761
32	0.00661183	0.00716039	32.6496
33	0.00716039	0.00779367	32.6496
34	0.00779367	0.00854268	13.2485
35	0.00854268	0.00945939	13.2485
36	0.00945939	0.0106412	5.05072
37	0.0106412	0.0123069	5.05072
38	0.0123069	0.0151545	8.41165
39	0.0151545	inf	8.41165
