time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.27718e-05	1752.06
1	9.27718e-05	0.000187954	941.969
2	0.000187954	0.000285674	429.459
3	0.000285674	0.000386072	268.677
4	0.000386072	0.000489298	217.424
5	0.000489298	0.000595517	204.417
6	0.000595517	0.000704907	207.88
7	0.000704907	0.000817663	219.394
8	0.000817663	0.000934	234.716
9	0.000934	0.00105415	251.069
10	0.00105415	0.00117838	272.559
11	0.00117838	0.00130696	272.559
12	0.00130696	0.00144022	288.697
13	0.00144022	0.00157851	288.697
14	0.00157851	0.00172223	289.43
15	0.00172223	0.00187181	289.43
16	0.00187181	0.00202776	280.141
17	0.00202776	0.00219065	280.141
18	0.00219065	0.00236111	266.251
19	0.00236111	0.00253989	266.251
20	0.00253989	0.00272785	250.532
21	0.00272785	0.00292597	250.532
22	0.00292597	0.00313541	234.043
23	0.00313541	0.00335756	234.043
24	0.00335756	0.00359404	217.087
25	0.00359404	0.00384685	217.087
26	0.00384685	0.00411841	199.584
27	0.00411841	0.00441171	199.584
28	0.00441171	0.00473054	181.16
29	0.00473054	0.00507979	181.16
30	0.00507979	0.00546586	161.188
31	0.00546586	0.00589745	161.188
32	0.00589745	0.00638675	138.744
33	0.00638675	0.0069516	138.744
34	0.0069516	0.00761968	112.42
35	0.00761968	0.00843734	112.42
36	0.00843734	0.00949149	80.2559
37	0.00949149	0.0109772	80.2559
38	0.0109772	0.0135171	52.9354
39	0.0135171	inf	52.9354
